Member_Name,Gender,Membership_Type,Favorite_Workout,Branch_Location,Trainer_Name,Payment_Method,Member_Age,Monthly_Fee,Avg_Workout_Duration_Minutes,Membership_Join_Date,Last_Visit_Date
Ashton Papez,Male,Silver,Cardio,PO Box 24081,Matthieu Haitlie,Online Payment,81,Peso,115,3/29/2013,9/20/2022
Damien Owlner,Male,Silver,HIIT,7th Floor,Ichabod Grene,Online Payment,80,Dollar,50,10/16/2022,12/5/2021
Trixy Cooksley,Female,Bronze,Weights,Room 757,Jena Locksley,Credit Card,27,Yuan Renminbi,52,1/29/2011,7/26/2021
Myles Cracoe,Male,Silver,Weights,Suite 1,Hazel Bickers,Credit Card,78,Ruble,45,3/10/2021,5/12/2022
Marlane Oakenfall,Female,Silver,Yoga,17th Floor,Layla Lochran,Credit Card,42,Rupiah,71,3/7/2019,7/28/2020
Olenolin Beatty,Male,Silver,HIIT,6th Floor,Ford Annies,Cash,56,Euro,51,9/4/2019,10/4/2021
Deidre Battill,Female,Gold,HIIT,Suite 14,Ertha Shoreson,Online Payment,59,Peso,86,3/26/2011,12/21/2022
Maressa Densell,Female,Gold,HIIT,1st Floor,Alys Pilmer,Online Payment,44,Won,49,4/21/2020,4/16/2022
Andy Lundbeck,Female,Gold,HIIT,19th Floor,Tawsha Klimkin,Online Payment,18,Dollar,61,12/27/2010,6/18/2022
Chic Linsay,Polygender,Bronze,Weights,PO Box 17147,Virgil Betteridge,Online Payment,23,Lek,61,1/13/2022,7/29/2022
Sibyl Pires,Male,Silver,Weights,Apt 1042,Pancho Manning,Cash,36,Yuan Renminbi,85,7/24/2016,2/14/2021
Lanny Southerton,Male,Bronze,Weights,Apt 724,Jessie McGrah,Cash,76,Ruble,105,9/17/2015,9/16/2021
Jourdain Edsell,Male,Silver,Cardio,PO Box 33933,Emmett Dibble,Cash,22,Koruna,115,4/26/2017,5/30/2020
Joaquin Klouz,Male,Gold,Yoga,19th Floor,Jeremias Hatz,Cash,25,Rupee,59,2/14/2011,2/27/2021
Noelani Iglesia,Genderqueer,Gold,HIIT,Room 215,Tori Hellyer,Credit Card,68,Yuan Renminbi,113,7/10/2015,5/25/2020
Mikel Alden,Male,Silver,HIIT,Apt 1880,Vergil Nacci,Cash,45,Kuna,51,5/30/2018,7/16/2020
Milo Bonome,Male,Silver,Weights,PO Box 98530,Ravi Lidington,Credit Card,25,Rand,110,3/28/2013,7/27/2021
Conrad Lockey,Male,Gold,HIIT,Room 1928,Jens Daniell,Credit Card,69,Ruble,104,12/1/2010,5/16/2020
Lyn St Quenin,Male,Silver,Weights,18th Floor,Derron Massei,Cash,24,Rial,49,9/23/2013,5/12/2022
Izaak Dannett,Male,Bronze,Yoga,Apt 186,Rogerio Bontoft,Credit Card,43,Lev,42,6/29/2011,9/29/2020
Loni Bunford,Female,Bronze,Weights,PO Box 9031,Christiana Carvill,Cash,58,Manat,62,9/27/2015,5/22/2021
Ottilie Oertzen,Female,Silver,Yoga,Room 1587,Meris Shirrell,Cash,22,Yuan Renminbi,100,4/1/2010,9/18/2021
Sly Catley,Non-binary,Silver,HIIT,8th Floor,Cristian Hamments,Credit Card,27,Rupiah,65,12/29/2016,12/16/2021
Yancy Scupham,Male,Silver,Weights,3rd Floor,Myer Jojic,Credit Card,84,Dollar,89,12/8/2014,1/10/2021
Bartholomeus Bernette,Male,Bronze,Yoga,Apt 650,Noe Hammel,Online Payment,85,Dong,32,4/5/2017,9/4/2021
Claretta Shaddick,Female,Gold,Yoga,Suite 50,Nicolette Harroll,Cash,47,Peso,48,7/26/2010,7/2/2020
Katee Gillions,Female,Bronze,Weights,10th Floor,Gennifer Kegley,Online Payment,38,Taka,92,10/14/2013,12/17/2022
Jolene Fontell,Female,Gold,Cardio,PO Box 62678,Harli Enstone,Credit Card,23,Euro,39,2/11/2015,5/19/2020
